staff_id,first_name,last_name,id_number,date_of_birth,gender,email,contact_number,department,faculty,position,employment_type,start_date,end_date,qualification,office_location
STAFF-2090,Lesego,Modise,8108308765100,30/08/1981,F,l.modise@uct.ac.za,+27 95 888 9999,Biological Sciences,Science,Senior Lecturer,Permanent,2012-09-01,,PhD Molecular Biology,Molecular Biology Building 2.12
STAFF-3013,Natasha,Pillay,8304078765101,07/04/1983,F,n.pillay@uct.ac.za,0968889990,Computer Science,Science,Senior Lecturer,Permanent,2013/03/01,,PhD Computer Science,Computer Science Building 3.27
STAFF-3046,Sibusiso,Ntuli,7705198765102,19/05/1977,Male,s.ntuli@uct.ac.za,+27 97 999 0000,Languages,Humanities,Senior Lecturer,Permanent,01/08/2010,,PhD African Languages,Arts Building 4.58
STAFF-3047,James,van Wyk,7810168765103,16-Oct-78,M,j.vanwyk@uct.ac.za,+27 98 000 1111,Music,Humanities,Lecturer,Contract,2017/01/15,2023/01/14,MMus,South African College of Music 2.15
STAFF-4024,Busisiwe,Dlamini,8209058765104,05/09/1982,F,b.dlamini@uct.ac.za,+27 99 111 2222,History,Humanities,Lecturer,Permanent,01-Feb-15,,PhD History,Arts Building 3.50
STAFF-4025,Michael,Johnson,7601118765105,11/01/1976,M,m.johnson@uct.ac.za,0991112223,Drama,Humanities,Associate Professor,Permanent,2009/04/01,,PhD Drama,Arts Building 2.20
STAFF-4026,Amina,Ali,8107208765106,20/07/1981,F,a.ali@uct.ac.za,+27 10 222 3333,Philosophy,Humanities,Senior Lecturer,Permanent,2014/02/01,,PhD Philosophy,Arts Building 3.55
STAFF-4568,Benjamin,Coetzee,7708018765107,01-Aug-77,M,b.coetzee@uct.ac.za,+27 11 333 4444,Law,Law,Associate Professor,Permanent,01-Jul-08,,LLM,Kramer Law Building 2.17
STAFF-5024,Nomvula,Zwane,8301028765108,02/01/1983,Female,n.zwane@uct.ac.za,+27 12 444 5555,Psychology,Humanities,Lecturer,Permanent,2016/01/01,,PhD Psychology,PD Hahn Building 5.22
STAFF-6079,Daniel,Ferreira,7904238765109,23/04/1979,M,d.ferreira@uct.ac.za,+27 13 555 6666,Physics,Science,Lecturer,Permanent,01/08/2011,,PhD Physics,RW James Building 4.27
STAFF-6080,Thandeka,Mbatha,8002128765110,12/02/1980,F,t.mbatha@uct.ac.za,0135556667,Chemistry,Science,Associate Professor,Permanent,2010/09/01,,PhD Chemistry,PD Hahn Building 4.15
STAFF-6081,Johan,Pretorius,7605268765111,26-May-76,M,j.pretorius@uct.ac.za,+27 14 666 7777,Chemistry,Science,Professor,Permanent,01-Apr-07,,PhD Chemistry,PD Hahn Building 4.20
STAFF-6090,Thembi,Xaba,8103108765112,10/03/1981,F,t.xaba@uct.ac.za,+27 15 777 8888,Geography,Science,Senior Lecturer,Permanent,2012/02/01,,PhD Geography,Environmental & Geographical Science Building 3.10
STAFF-6091,Robert,Wilson,7709148765113,14/09/1977,Male,r.wilson@uct.ac.za,+27 16 888 9999,Geography,Science,Lecturer,Contract,2018/07/01,2023/06/30,PhD Geography,Environmental & Geographical Science Building 3.12
STAFF-7024,Zandile,Ndlovu,8406158765114,15/06/1984,F,z.ndlovu@uct.ac.za,+27 17 999 0000,Medical Sciences,Health Sciences,Senior Lecturer,Permanent,2013/05/01,,MD PhD,Anatomy Building 3.17
STAFF-8046,Thomas,Brown,7703058765115,05-Mar-77,M,t.brown@uct.ac.za,0179990001,Political Science,Humanities,Associate Professor,Permanent,2010/03/01,,PhD Political Science,Leslie Social Science Building 4.40
STAFF-9013,Fatuma,Hassan,8201178765116,17/01/1982,F,f.hassan@uct.ac.za,+27 18 000 1111,Mathematics,Science,Senior Lecturer,Permanent,01-May-11,,PhD Mathematics,Mathematics Building 5.12
STAFF-9020,Vincent,Kganyago,7608308765117,30/08/1976,M,v.kganyago@uct.ac.za,+27 19 111 2222,Engineering,Engineering,Professor,Permanent,2007/06/01,,PhD Engineering,Menzies Building 2.10
