student_id,first_name,surname,id_number,date_of_birth,gender,email,cellphone,registration_date,enrollment_status,nationality,province,program_code,study_year,campus
STU100139,Joshua,Nkuta,0607058765094,05/07/2006,M,jnkuta@student.uct.ac.za,27951234567,20/02/2022,ACTIVE,ZA,Limpopo,BSc-CS,1,Main Campus
100140,Nomvula,Sithole,,08/09/2003,F,nsithole@student.uct.ac.za,+27 96 234 5678,21/02/2022,Active,South Africa,Free State,BA-POL,1,Main
STU-100141,Mohammed,Kareem,0110205082095,20/10/2001,M,mkareem@student.uct.ac.za,+27 97 345 6789,2022/02/21,Pending,SA,Western Cape,LLB,1,Main Campus
100142,Natasha,Du Toit,0211305082096,30-11-2002,F,n.dutoit@myuct.ac.za,0983456789,2022/02/22,active,SA,Northern Cape,BFA,1,Hiddingh
STU-100143,Samuel,Peterson,0112125082097,12/12/2001,Male,speterson@student.uct.ac.za,+27991234567,22-Feb-22,Active,South African,Western Cape,BSc-ENG,1,Main Campus
100144,Zinhle,Mathebula,0301015082098,01/01/2003,F,zmathebula@uct.ac.za,+27 11 234 5678,23/02/2022,active,SA,Gauteng,MBChB,1,Health Sciences
STU-100145,Blessing,Moyo,0402028765099,02/02/2004,Female,,+27 12 345 6789,23-02-2022,Active,Zimbabwe,International,BCom-ACC,1,Main Campus
100146,John,Williams,0503035082100,03/03/2005,M,jwilliams@student.uct.ac.za,+27 13 456 7890,24/02/2022,PENDING,ZA,Western Cape,BSc-PHYS,1,Main
STU100147,Ntombi,Kgosi,0604045082101,04-Apr-06,F,nkgosi@mail.uct.ac.za,0144567890,24-02-2022,Active,South Africa,North West,BA-LANG,1,Main Campus
100148,Tshepo,Mofokeng,0705055082102,05/05/2007,M,tmofokeng@student.uct.ac.za,+27 15 567 8901,2022-02-25,Suspended,SA,Free State,BSc-CHEM,1,Main
STU-100149,Lauren,Smith,0806065082103,06/06/2008,F,lsmith@student.uct.ac.za,+27 16 678 9012,25/02/2022,Active,SA,Western Cape,BCom-MAN,1,Main Campus
100150,Mpho,Lesedi,9007075082104,07-Jul-90,male,m.lesedi@uct.ac.za,0176789012,2022/02/26,Active,South Africa,Limpopo,BSc-AGR,4,Main
STU-100151,Abdul,Rahman,9108085082105,08/08/1991,M,arahman@student.uct.ac.za,+27 18 789 0123,26/02/2022,Active,SA,Western Cape,BCom-FIN,4,Main Campus
100152,Nonhlanhla,Zuma,9209095082106,09/09/1992,F,nzuma@student.uct.ac.za,+27 19 890 1234,27/02/2022,active,SA,KwaZulu-Natal,BA-LING,3,Main
STU100153,Peter,Johnson,9310105082107,"10/10/1993",M,pjohnson@uct.ac.za,27198901235,27/02/2022,ACTIVE,South African,Eastern Cape,BSc-MAR,3,Main Campus
100154,Gabriella,Pillay,,11/11/1994,F,gpillay@student.uct.ac.za,+27 20 901 2345,28/02/2022,Active,SA,Western Cape,LLB,3,Main
STU-100155,Lwazi,Dlamini,9512125082108,12/12/1995,M,ldlamini@student.uct.ac.za,+27 21 012 3456,2022/02/28,Active,SA,Mpumalanga,BSc-IT,2,Main Campus
100156,Candice,Meyer,9601015082109,01-Jan-96,F,c.meyer@myuct.ac.za,0220123456,2022/03/01,inactive,SA,Western Cape,BEd,2,Main
STU-100157,Victor,Maluleke,9702025082110,02/02/1997,Male,vmaluleke@student.uct.ac.za,+27231234567,01-Mar-22,Active,South African,Limpopo,BA-HIST,2,Main Campus
100158,Elizabeth,Van Rensburg,9803035082111,03/03/1998,F,evanrensburg@uct.ac.za,+27 24 234 5678,02/03/2022,active,SA,Free State,BSc-ECO,2,Main
STU-100159,Bongani,Ndaba,9904045082112,04/04/1999,Male,,+27 25 345 6789,02-03-2022,Active,SA,North West,BCom-MKT,2,Main Campus
100160,Ayesha,Ebrahim,0005055082113,05/05/2000,F,aebrahim@student.uct.ac.za,+27 26 456 7890,03/03/2022,PENDING,ZA,Western Cape,MBChB,1,Health Sciences
STU100161,Neo,Mashaba,0106065082114,06-Jun-01,M,nmashaba@mail.uct.ac.za,0274567890,03-03-2022,Active,South Africa,Gauteng,BSc-CS,2,Main Campus
100162,Caitlin,Thompson,0207075082115,07/07/2002,F,cthompson@student.uct.ac.za,+27 28 567 8901,2022-03-04,Suspended,SA,Western Cape,BA-FILM,1,Hiddingh
STU-100163,Sizwe,Mkhize,0308085082116,08/08/2003,M,smkhize@student.uct.ac.za,+27 29 678 9012,04/03/2022,Active,SA,KwaZulu-Natal,BCom-ACC,1,Main Campus
100164,Jade,Hendricks,0409095082117,09-Sep-04,female,j.hendricks@uct.ac.za,0306789012,2022/03/05,Active,South Africa,Western Cape,BFA,1,Hiddingh
STU-100165,Tumelo,Modise,0510105082118,10/10/2005,M,tmodise@student.uct.ac.za,+27 31 789 0123,05/03/2022,Active,SA,North West,BA-SOC,1,Main Campus
100166,Lindiwe,Mahlangu,9211115082119,11/11/1992,F,lmahlangu@student.uct.ac.za,+27 32 890 1234,06/03/2022,active,SA,Mpumalanga,BSc-BOT,3,Main
STU100167,Kyle,Andrews,9312125082120,"12/12/1993",M,kandrews@uct.ac.za,27338901235,06/03/2022,ACTIVE,South African,Western Cape,BCom-ECO,3,Main Campus
100168,Nosipho,Tshabalala,,01/01/1994,F,ntshabalala@student.uct.ac.za,+27 34 901 2345,07/03/2022,Active,SA,Gauteng,BA-PSYCH,3,Main
STU-100169,Themba,Sibiya,9502025082121,02/02/1995,M,tsibiya@student.uct.ac.za,+27 35 012 3456,2022/03/07,Active,SA,KwaZulu-Natal,BSc-STAT,3,Main Campus
100170,Stephanie,Brown,9603035082122,03-Mar-96,F,s.brown@myuct.ac.za,0350123456,2022/03/08,inactive,SA,Western Cape,LLB,2,Main
